name,difficulty,would_take_again,num_ratings,quality,department,link
Cynthia Leedham,58%,58%,12 ratings,4.0,Sociology,https://www.ratemyprofessors.com/professor/150415
Douglas Gibler,N/A,N/A,20 ratings,3.6,Political Science,https://www.ratemyprofessors.com/professor/155538
Regina Francies,N/A,N/A,30 ratings,4.4,Communication,https://www.ratemyprofessors.com/professor/162745
Bill Rayens,60%,60%,68 ratings,3.6,Mathematics,https://www.ratemyprofessors.com/professor/162748
Dan Rowland,N/A,N/A,8 ratings,4.6,History,https://www.ratemyprofessors.com/professor/172001
Ernest Yanarella,60%,60%,19 ratings,3.3,Political Science,https://www.ratemyprofessors.com/professor/172139
Alan Perreiah,N/A,N/A,27 ratings,2.9,Philosophy,https://www.ratemyprofessors.com/professor/172146
James Manns,N/A,N/A,0 ratings,0.0,Philosophy,https://www.ratemyprofessors.com/professor/172147
Henry Schankula,100%,100%,6 ratings,3.5,Philosophy,https://www.ratemyprofessors.com/professor/172149
James Force,N/A,N/A,15 ratings,4.3,Philosophy,https://www.ratemyprofessors.com/professor/172152
Harmon Holcomb,N/A,N/A,8 ratings,2.3,Philosophy,https://www.ratemyprofessors.com/professor/172156
Michael Horton,N/A,N/A,7 ratings,4.6,Philosophy,https://www.ratemyprofessors.com/professor/172157
Karen Mingst,N/A,N/A,13 ratings,2.6,Political Science,https://www.ratemyprofessors.com/professor/172610
David Watt,50%,50%,22 ratings,3.7,Science,https://www.ratemyprofessors.com/professor/181310
Bruce Webb,50%,50%,13 ratings,3.2,Science,https://www.ratemyprofessors.com/professor/181312
Charles Carlson,95%,95%,49 ratings,4.3,Psychology,https://www.ratemyprofessors.com/professor/185647
Hilary Hopper,N/A,N/A,0 ratings,0.0,Science,https://www.ratemyprofessors.com/professor/188537
John Anthony,67%,67%,18 ratings,3.7,Chemistry,https://www.ratemyprofessors.com/professor/199305
Doris Wilkinson,N/A,N/A,12 ratings,2.3,Sociology,https://www.ratemyprofessors.com/professor/199686
Randy Perry,N/A,N/A,18 ratings,2.0,Business,https://www.ratemyprofessors.com/professor/204739
Chris Bollinger,100%,100%,6 ratings,3.8,Economics,https://www.ratemyprofessors.com/professor/204744
Jerry Baskin,N/A,N/A,11 ratings,1.7,Biology,https://www.ratemyprofessors.com/professor/205044
Miles Osland,100%,100%,9 ratings,2.0,Music,https://www.ratemyprofessors.com/professor/205578
Jeanmarie Rouhier-Willoughby,67%,67%,17 ratings,3.2,Languages,https://www.ratemyprofessors.com/professor/209175
Laurie Lindberg,N/A,N/A,4 ratings,4.5,Fine Arts,https://www.ratemyprofessors.com/professor/215432
Phillip Bonner,100%,100%,77 ratings,2.6,Biology,https://www.ratemyprofessors.com/professor/218944
. Gibbs,N/A,N/A,16 ratings,4.0,History,https://www.ratemyprofessors.com/professor/227525
Denise Fulbrook,N/A,N/A,18 ratings,4.4,English,https://www.ratemyprofessors.com/professor/229990
Changyou Wang,N/A,N/A,22 ratings,3.2,Mathematics,https://www.ratemyprofessors.com/professor/230630
Desmond Brown,N/A,N/A,6 ratings,2.7,Culinary Arts,https://www.ratemyprofessors.com/professor/232929
Fitzgerald Bramwell,N/A,N/A,66 ratings,2.0,Chemistry,https://www.ratemyprofessors.com/professor/233747
Stephen Greb,N/A,N/A,28 ratings,4.0,Science,https://www.ratemyprofessors.com/professor/233843
Richard Gift,N/A,N/A,13 ratings,4.3,Economics,https://www.ratemyprofessors.com/professor/234807
Richard Smith,100%,100%,16 ratings,4.3,Psychology,https://www.ratemyprofessors.com/professor/235181
Doreen Maloney,100%,100%,11 ratings,4.2,Fine Arts,https://www.ratemyprofessors.com/professor/242151
Elinor Brown,N/A,N/A,9 ratings,2.7,Education,https://www.ratemyprofessors.com/professor/251464
Jeffery Bieber,N/A,N/A,6 ratings,4.2,Education,https://www.ratemyprofessors.com/professor/251465
Sadia Zubir-Shaw,0%,0%,9 ratings,4.5,Languages,https://www.ratemyprofessors.com/professor/252121
Bob Clark,N/A,N/A,36 ratings,3.0,Accounting,https://www.ratemyprofessors.com/professor/253488
Don Don,N/A,N/A,0 ratings,0.0,Communication,https://www.ratemyprofessors.com/professor/271049
Dave Bowman,N/A,N/A,53 ratings,3.2,History,https://www.ratemyprofessors.com/professor/273723
Bones Carpenter,N/A,N/A,10 ratings,3.3,Fine Arts,https://www.ratemyprofessors.com/professor/274603
Michael Holdren,N/A,N/A,19 ratings,4.4,Fine Arts,https://www.ratemyprofessors.com/professor/274606
Robert Jensen,N/A,N/A,18 ratings,3.7,Fine Arts,https://www.ratemyprofessors.com/professor/274607
Ken Kubota,29%,29%,35 ratings,1.8,Mathematics,https://www.ratemyprofessors.com/professor/274617
Anna Secor,N/A,N/A,10 ratings,4.3,Geography,https://www.ratemyprofessors.com/professor/274623
Todd Campbell,N/A,N/A,21 ratings,4.1,English,https://www.ratemyprofessors.com/professor/277324
Christopher Reese,N/A,N/A,13 ratings,3.5,English,https://www.ratemyprofessors.com/professor/281350
Lee Edgerton,N/A,N/A,10 ratings,3.9,Agriculture,https://www.ratemyprofessors.com/professor/281439
Carol Eades,N/A,N/A,10 ratings,4.0,English,https://www.ratemyprofessors.com/professor/282278
Jean Cooper,N/A,N/A,33 ratings,2.7,Accounting,https://www.ratemyprofessors.com/professor/291391
Levis Zerpa,N/A,N/A,12 ratings,2.6,Languages,https://www.ratemyprofessors.com/professor/291729
Buck Ryan,88%,88%,81 ratings,3.5,Journalism,https://www.ratemyprofessors.com/professor/291735
James Francis,100%,100%,34 ratings,4.3,Classics,https://www.ratemyprofessors.com/professor/291739
Steve Ellis,100%,100%,74 ratings,2.0,Physics,https://www.ratemyprofessors.com/professor/300034
Steve Parker,N/A,N/A,9 ratings,4.7,Education,https://www.ratemyprofessors.com/professor/300035
Penny Robinson,N/A,N/A,16 ratings,4.8,Mathematics,https://www.ratemyprofessors.com/professor/306471
Bruce Holle,82%,82%,122 ratings,4.3,History,https://www.ratemyprofessors.com/professor/313350
Thomas Egan,100%,100%,76 ratings,1.9,Sociology,https://www.ratemyprofessors.com/professor/315138
Paul Brown,N/A,N/A,3 ratings,4.8,Languages,https://www.ratemyprofessors.com/professor/316142
Art Goldman,N/A,N/A,41 ratings,4.4,Accounting,https://www.ratemyprofessors.com/professor/322221
Nicola Tarrant-Hoskins,N/A,N/A,20 ratings,4.5,English,https://www.ratemyprofessors.com/professor/322359
Traci Letcher,100%,100%,32 ratings,4.7,Communication,https://www.ratemyprofessors.com/professor/327089
Matthew Demichelle,N/A,N/A,3 ratings,3.0,Sociology,https://www.ratemyprofessors.com/professor/330326
Peter Hislop,100%,100%,27 ratings,3.2,Mathematics,https://www.ratemyprofessors.com/professor/331227
Katherine McCormick,N/A,N/A,0 ratings,0.0,Education,https://www.ratemyprofessors.com/professor/331996
James Avery,N/A,N/A,0 ratings,0.0,Political Science,https://www.ratemyprofessors.com/professor/339315
Kaye Woods,0%,0%,34 ratings,3.6,Honors,https://www.ratemyprofessors.com/professor/349898
Nikos Pappas,N/A,N/A,16 ratings,1.6,Music,https://www.ratemyprofessors.com/professor/353878
Karl Raitz,N/A,N/A,8 ratings,4.7,Geography,https://www.ratemyprofessors.com/professor/355781
Robert Grossman,60%,60%,69 ratings,2.8,Chemistry,https://www.ratemyprofessors.com/professor/360098
Stephanie Saunders,N/A,N/A,6 ratings,5.0,Languages,https://www.ratemyprofessors.com/professor/361543
Hank Dietz,100%,100%,22 ratings,2.2,Engineering,https://www.ratemyprofessors.com/professor/362323
Joanne Mellish,N/A,N/A,8 ratings,4.4,History,https://www.ratemyprofessors.com/professor/364568
R Tannenbaum,N/A,N/A,6 ratings,4.5,Not Specified,https://www.ratemyprofessors.com/professor/371074
Chris Gunn,N/A,N/A,6 ratings,3.9,Anthropology,https://www.ratemyprofessors.com/professor/371076
Thomas Chapman,N/A,N/A,24 ratings,4.3,Mathematics,https://www.ratemyprofessors.com/professor/373631
Mike Cavagnero,N/A,N/A,6 ratings,3.4,Physics,https://www.ratemyprofessors.com/professor/373920
Eric Christianson,100%,100%,21 ratings,3.9,History,https://www.ratemyprofessors.com/professor/373929
Shirley Hayes,0%,0%,4 ratings,2.0,English,https://www.ratemyprofessors.com/professor/383558
Robert Rabel,100%,100%,21 ratings,4.3,Classics,https://www.ratemyprofessors.com/professor/384391
John Lewis,0%,0%,23 ratings,2.3,Mathematics,https://www.ratemyprofessors.com/professor/387392
Laura Barrio-Vilar,N/A,N/A,12 ratings,3.3,English,https://www.ratemyprofessors.com/professor/389734
Raymond Cox,N/A,N/A,28 ratings,1.9,Mathematics,https://www.ratemyprofessors.com/professor/392816
Peter Giancola,N/A,N/A,26 ratings,4.6,Psychology,https://www.ratemyprofessors.com/professor/399523
Joann Rogers,N/A,N/A,0 ratings,0.0,Information Science,https://www.ratemyprofessors.com/professor/400335
Patricia Cooper,N/A,N/A,12 ratings,3.9,History,https://www.ratemyprofessors.com/professor/402448
Rebecca Kellum,0%,0%,33 ratings,2.5,Biology,https://www.ratemyprofessors.com/professor/403793
Joe Wilson,N/A,N/A,8 ratings,4.5,Chemistry,https://www.ratemyprofessors.com/professor/403935
Mary Katherine Tri,N/A,N/A,23 ratings,4.2,English,https://www.ratemyprofessors.com/professor/411934
Ross Scaife,N/A,N/A,8 ratings,4.6,Classics,https://www.ratemyprofessors.com/professor/411957
Ron Bruzina,N/A,N/A,10 ratings,2.5,Philosophy,https://www.ratemyprofessors.com/professor/411958
Jan Oaks,N/A,N/A,32 ratings,2.8,Women's Studies,https://www.ratemyprofessors.com/professor/411963
David Adams,N/A,N/A,11 ratings,2.9,Mathematics,https://www.ratemyprofessors.com/professor/414481
Sanford Goldberg,N/A,N/A,19 ratings,3.4,Philosophy,https://www.ratemyprofessors.com/professor/415496
Erin Murphy,N/A,N/A,10 ratings,4.6,Philosophy,https://www.ratemyprofessors.com/professor/420903
Judith Lesnaw,N/A,N/A,10 ratings,3.1,Biology,https://www.ratemyprofessors.com/professor/423938
Hazel Forsythe,N/A,N/A,4 ratings,1.5,Agriculture,https://www.ratemyprofessors.com/professor/427115
Abigail Firey,100%,100%,16 ratings,4.0,History,https://www.ratemyprofessors.com/professor/428031
Guido Caspani,N/A,N/A,18 ratings,3.9,Religion,https://www.ratemyprofessors.com/professor/429262
Tom Lewis,89%,89%,18 ratings,4.1,Accounting,https://www.ratemyprofessors.com/professor/443868
Lee Townsend,100%,100%,7 ratings,5.0,Science,https://www.ratemyprofessors.com/professor/445157
Virginia Blum,100%,100%,16 ratings,3.9,English,https://www.ratemyprofessors.com/professor/464775
P Eakin,0%,0%,34 ratings,2.5,Mathematics,https://www.ratemyprofessors.com/professor/467880
Gwen Hill,N/A,N/A,0 ratings,0.0,Biology,https://www.ratemyprofessors.com/professor/477866
. Beidleman,N/A,N/A,18 ratings,2.6,Mathematics,https://www.ratemyprofessors.com/professor/479574
Greg Luhan,25%,25%,10 ratings,2.8,Architecture,https://www.ratemyprofessors.com/professor/481182
Steve Skinner,N/A,N/A,4 ratings,4.1,Business,https://www.ratemyprofessors.com/professor/484579
Ellen Riggle,100%,100%,23 ratings,3.2,Political Science,https://www.ratemyprofessors.com/professor/485522
Jurek Jaromczyk,75%,75%,21 ratings,3.8,Computer Science,https://www.ratemyprofessors.com/professor/488404
Hubert Martin,N/A,N/A,7 ratings,2.8,Classics,https://www.ratemyprofessors.com/professor/489321
Jennifer Tunberg,100%,100%,21 ratings,4.4,Classics,https://www.ratemyprofessors.com/professor/489324
Harald Hoebusch,N/A,N/A,7 ratings,4.6,Languages,https://www.ratemyprofessors.com/professor/489702
Joanna Baggliaco,N/A,N/A,5 ratings,3.9,Sociology,https://www.ratemyprofessors.com/professor/493417
Cynthia Vines,N/A,N/A,17 ratings,2.6,Accounting,https://www.ratemyprofessors.com/professor/494380
Lingireddy Lingireddy,N/A,N/A,0 ratings,0.0,Engineering,https://www.ratemyprofessors.com/professor/495861
Paul Goodrum,N/A,N/A,12 ratings,4.8,Engineering,https://www.ratemyprofessors.com/professor/495866
Michael Handke,N/A,N/A,14 ratings,4.1,Geology,https://www.ratemyprofessors.com/professor/498798
Anthony Ubelhor,N/A,N/A,21 ratings,2.7,Writing,https://www.ratemyprofessors.com/professor/500033
Spencer Christensen,N/A,N/A,20 ratings,4.0,Communication,https://www.ratemyprofessors.com/professor/502099
Dee Ripley,N/A,N/A,3 ratings,3.3,Mathematics,https://www.ratemyprofessors.com/professor/502305
Larry Hood,N/A,N/A,26 ratings,4.0,History,https://www.ratemyprofessors.com/professor/502308
Michael J. O'Hara,N/A,N/A,31 ratings,4.1,English,https://www.ratemyprofessors.com/professor/502567
Richard Milich,N/A,N/A,4 ratings,4.0,Psychology,https://www.ratemyprofessors.com/professor/502617
Wei Zhang,N/A,N/A,8 ratings,1.9,Mathematics,https://www.ratemyprofessors.com/professor/502783
Gary Shannon,80%,80%,48 ratings,3.5,Geography,https://www.ratemyprofessors.com/professor/502791
Dexter Speck,56%,56%,33 ratings,3.9,Physiology,https://www.ratemyprofessors.com/professor/502870
Masamichi Inoue,88%,88%,25 ratings,4.4,Anthropology,https://www.ratemyprofessors.com/professor/516038
Jerzy Rozenberg,34%,34%,33 ratings,2.7,Architecture,https://www.ratemyprofessors.com/professor/516855
Ellen Furlough,N/A,N/A,9 ratings,3.3,History,https://www.ratemyprofessors.com/professor/517092
Michael Crutcher,N/A,N/A,22 ratings,2.6,African-American Studies,https://www.ratemyprofessors.com/professor/522341
Moshe Elitzur,N/A,N/A,10 ratings,4.1,Physics,https://www.ratemyprofessors.com/professor/529650
Jonathan Cardi,N/A,N/A,3 ratings,3.7,Law,https://www.ratemyprofessors.com/professor/530463
Craig Sargent,50%,50%,22 ratings,2.7,Biology,https://www.ratemyprofessors.com/professor/531370
Ted Suffridge,N/A,N/A,10 ratings,2.9,Mathematics,https://www.ratemyprofessors.com/professor/533480
Sonya Jones,N/A,N/A,29 ratings,3.2,Honors,https://www.ratemyprofessors.com/professor/535046
Kenneth Tyler,N/A,N/A,4 ratings,4.8,Education,https://www.ratemyprofessors.com/professor/536125
Michael Hendricks,N/A,N/A,12 ratings,2.8,English,https://www.ratemyprofessors.com/professor/538888
John Robert Clark,15%,15%,32 ratings,3.2,Communication,https://www.ratemyprofessors.com/professor/543065
John Brock,N/A,N/A,5 ratings,1.9,Engineering,https://www.ratemyprofessors.com/professor/545277
Nikky Finney,N/A,N/A,4 ratings,5.0,English,https://www.ratemyprofessors.com/professor/552466
Seth Noar,N/A,N/A,4 ratings,4.9,Communication,https://www.ratemyprofessors.com/professor/553440
Amber Fogle,N/A,N/A,4 ratings,5.0,History,https://www.ratemyprofessors.com/professor/555516
William Cohen,N/A,N/A,13 ratings,2.0,Biology,https://www.ratemyprofessors.com/professor/558136
Scott Whitlow,100%,100%,11 ratings,2.4,Communication,https://www.ratemyprofessors.com/professor/558289
N Sullivan,N/A,N/A,7 ratings,3.4,Social Work,https://www.ratemyprofessors.com/professor/558753
Larry Holloway,50%,50%,5 ratings,3.2,Engineering,https://www.ratemyprofessors.com/professor/562203
Carl Lee,N/A,N/A,10 ratings,4.9,Mathematics,https://www.ratemyprofessors.com/professor/565605
Carie Steele,N/A,N/A,0 ratings,0.0,Political Science,https://www.ratemyprofessors.com/professor/566034
Stephen Testa,100%,100%,35 ratings,3.9,Chemistry,https://www.ratemyprofessors.com/professor/570788
John D. Stempel,N/A,N/A,5 ratings,3.8,International Studies,https://www.ratemyprofessors.com/professor/570829
Dennis Carrigan,N/A,N/A,2 ratings,4.0,Information Science,https://www.ratemyprofessors.com/professor/575767
Kwan Yi,100%,100%,10 ratings,2.5,Library & Information Science,https://www.ratemyprofessors.com/professor/575771
Sujin Kim,N/A,N/A,0 ratings,0.0,Information Science,https://www.ratemyprofessors.com/professor/575772
Sandra Ireland,N/A,N/A,0 ratings,0.0,Information Science,https://www.ratemyprofessors.com/professor/575775
William Marshall,N/A,N/A,6 ratings,4.3,Information Science,https://www.ratemyprofessors.com/professor/575777
Micheal Jabbour,N/A,N/A,17 ratings,3.2,Mathematics,https://www.ratemyprofessors.com/professor/577442
. Hulse,N/A,N/A,6 ratings,4.8,Accounting,https://www.ratemyprofessors.com/professor/579143
Carolyn Brock,N/A,N/A,8 ratings,2.5,Chemistry,https://www.ratemyprofessors.com/professor/583395
Lisa Cliggett,84%,84%,16 ratings,3.6,Anthropology,https://www.ratemyprofessors.com/professor/586907
. Cao,N/A,N/A,11 ratings,3.1,Physics,https://www.ratemyprofessors.com/professor/614005
. Schein,N/A,N/A,11 ratings,3.9,Geography,https://www.ratemyprofessors.com/professor/616912
Richard Gilbreath,N/A,N/A,10 ratings,4.8,Geography,https://www.ratemyprofessors.com/professor/622704
Susan Roberts,N/A,N/A,14 ratings,3.6,Geography,https://www.ratemyprofessors.com/professor/622713
Anibal Biglieri,100%,100%,8 ratings,4.1,Languages,https://www.ratemyprofessors.com/professor/622814
Margaret Cook-Newell,N/A,N/A,8 ratings,2.1,Agriculture,https://www.ratemyprofessors.com/professor/624803
Terry Rothgeb,N/A,N/A,6 ratings,3.1,Design,https://www.ratemyprofessors.com/professor/627310
Chen Chung,67%,67%,13 ratings,3.3,Business,https://www.ratemyprofessors.com/professor/642336
Francie Chassen-Lopez,100%,100%,4 ratings,4.0,History,https://www.ratemyprofessors.com/professor/622817
Daniel Brass,N/A,N/A,1 ratings,4.5,Management,https://www.ratemyprofessors.com/professor/642492
Walter J. Ferrier,100%,100%,1 ratings,5.0,Management,https://www.ratemyprofessors.com/professor/642493
James Gibson,N/A,N/A,1 ratings,5.0,Architecture,https://www.ratemyprofessors.com/professor/642494
Paul Jarley,N/A,N/A,0 ratings,0.0,Management,https://www.ratemyprofessors.com/professor/642496
Nancy Brown Johnson,N/A,N/A,7 ratings,3.4,Management,https://www.ratemyprofessors.com/professor/642497
Jamie Fairfield,N/A,N/A,23 ratings,2.8,English,https://www.ratemyprofessors.com/professor/645504
David Williams,100%,100%,12 ratings,4.7,Agriculture,https://www.ratemyprofessors.com/professor/648142
. Black,N/A,N/A,10 ratings,3.2,Engineering,https://www.ratemyprofessors.com/professor/653924
Thomas Zentall,25%,25%,10 ratings,3.0,Psychology,https://www.ratemyprofessors.com/professor/677062
Andrew Klapper,N/A,N/A,7 ratings,3.6,Computer Science,https://www.ratemyprofessors.com/professor/681417
Peter Berres,0%,0%,22 ratings,3.7,Political Science,https://www.ratemyprofessors.com/professor/683149
Andrew Battista,N/A,N/A,12 ratings,3.5,English,https://www.ratemyprofessors.com/professor/688869
Jerry Rose,N/A,N/A,3 ratings,3.8,Engineering,https://www.ratemyprofessors.com/professor/692964
Dennis Altman,N/A,N/A,13 ratings,3.7,Communication,https://www.ratemyprofessors.com/professor/693129
Mary Shake,50%,50%,3 ratings,2.7,Education,https://www.ratemyprofessors.com/professor/696249
Jesus Garcia,N/A,N/A,0 ratings,0.0,Education,https://www.ratemyprofessors.com/professor/696267
Richard Domek,N/A,N/A,4 ratings,4.9,Music,https://www.ratemyprofessors.com/professor/696280
Leah Bayens,N/A,N/A,7 ratings,4.1,English,https://www.ratemyprofessors.com/professor/703659
Rebecca Jordan,N/A,N/A,2 ratings,5.0,Not Specified,https://www.ratemyprofessors.com/professor/703662
Rose Boulay,N/A,N/A,7 ratings,3.1,Education,https://www.ratemyprofessors.com/professor/707461
Topher Rice,N/A,N/A,55 ratings,4.0,Political Science,https://www.ratemyprofessors.com/professor/709248
Nino Kebadze,N/A,N/A,0 ratings,0.0,Languages,https://www.ratemyprofessors.com/professor/709584
Erin Militzer,N/A,N/A,11 ratings,3.0,Mathematics,https://www.ratemyprofessors.com/professor/710204
Sarah Riley,0%,0%,8 ratings,3.3,Communication,https://www.ratemyprofessors.com/professor/715111
Daniel Breazeale,N/A,N/A,5 ratings,4.6,Philosophy,https://www.ratemyprofessors.com/professor/720716
Monica Visona,25%,25%,10 ratings,3.4,Fine Arts,https://www.ratemyprofessors.com/professor/721469
Rayma Beal,20%,20%,18 ratings,3.3,Fine Arts,https://www.ratemyprofessors.com/professor/722731
Dennis Domer,N/A,N/A,1 ratings,1.0,Architecture,https://www.ratemyprofessors.com/professor/724688
Jane Vance,N/A,N/A,4 ratings,4.1,English,https://www.ratemyprofessors.com/professor/725405
. Van Meter,N/A,N/A,1 ratings,4.0,Mathematics,https://www.ratemyprofessors.com/professor/726800
Ron Formisano,N/A,N/A,3 ratings,4.7,History,https://www.ratemyprofessors.com/professor/727896
Mike Kovash,34%,34%,12 ratings,2.3,Physics,https://www.ratemyprofessors.com/professor/728763
Chana Akins,0%,0%,11 ratings,3.9,Psychology,https://www.ratemyprofessors.com/professor/745276
Nola Ogunro,N/A,N/A,1 ratings,3.0,Economics,https://www.ratemyprofessors.com/professor/746124
Webb Althea,N/A,N/A,2 ratings,5.0,Education,https://www.ratemyprofessors.com/professor/747446
Ed Lee,100%,100%,30 ratings,4.4,Languages,https://www.ratemyprofessors.com/professor/749521
Robin Westerik,N/A,N/A,5 ratings,3.3,History,https://www.ratemyprofessors.com/professor/749954
April Kite,N/A,N/A,3 ratings,5.0,Music,https://www.ratemyprofessors.com/professor/750046
Christina Wright,N/A,N/A,4 ratings,4.8,Education,https://www.ratemyprofessors.com/professor/750054
Jeff Gross,N/A,N/A,6 ratings,4.4,English,https://www.ratemyprofessors.com/professor/750425
Rachel Simon,N/A,N/A,31 ratings,2.3,English,https://www.ratemyprofessors.com/professor/751397
Chad Mueller,N/A,N/A,6 ratings,4.8,Chemistry,https://www.ratemyprofessors.com/professor/756830
Walt Bower,N/A,N/A,9 ratings,2.8,Sociology,https://www.ratemyprofessors.com/professor/758050
Karen Lewis,N/A,N/A,5 ratings,4.6,Architecture,https://www.ratemyprofessors.com/professor/759538
Dibyajyoti Deb,N/A,N/A,9 ratings,3.3,Mathematics,https://www.ratemyprofessors.com/professor/763098
Dan Laub,100%,100%,14 ratings,4.8,Economics,https://www.ratemyprofessors.com/professor/776374
Rebecca Pittenger,N/A,N/A,4 ratings,5.0,Languages,https://www.ratemyprofessors.com/professor/777248
. Weckman,N/A,N/A,8 ratings,4.6,Agriculture,https://www.ratemyprofessors.com/professor/777458
Michael Arrington,100%,100%,6 ratings,3.0,Communication,https://www.ratemyprofessors.com/professor/777912
Stanley Rosenbaum,N/A,N/A,5 ratings,3.9,Judaic Studies,https://www.ratemyprofessors.com/professor/778703
Kathrine Rogers-Carpenter,N/A,N/A,15 ratings,4.3,English,https://www.ratemyprofessors.com/professor/779243
Michael Slone,N/A,N/A,3 ratings,2.3,Mathematics,https://www.ratemyprofessors.com/professor/779491
Keith MacAdam,N/A,N/A,11 ratings,4.5,Physics,https://www.ratemyprofessors.com/professor/782373
Mark Fillmore,100%,100%,14 ratings,4.5,Psychology,https://www.ratemyprofessors.com/professor/783371
Schuyler Robinson,100%,100%,8 ratings,4.8,Music,https://www.ratemyprofessors.com/professor/788875
Todd Pfeiffer,50%,50%,13 ratings,3.0,Agriculture,https://www.ratemyprofessors.com/professor/788877
Hyungsoo Kim,N/A,N/A,4 ratings,2.8,Family Studies,https://www.ratemyprofessors.com/professor/801281
Holger Lenz,N/A,N/A,5 ratings,4.7,Languages,https://www.ratemyprofessors.com/professor/803819
Laura Pita,N/A,N/A,11 ratings,3.3,Music,https://www.ratemyprofessors.com/professor/804142
Erik Reece,50%,50%,16 ratings,3.0,English,https://www.ratemyprofessors.com/professor/809985
Carrie Saunders,N/A,N/A,3 ratings,4.8,Social Work,https://www.ratemyprofessors.com/professor/816328
Theodore Godlaski,N/A,N/A,4 ratings,4.8,Social Work,https://www.ratemyprofessors.com/professor/816337
Chad Sirk,N/A,N/A,1 ratings,1.5,Finance,https://www.ratemyprofessors.com/professor/816408
Keith Halladay,100%,100%,24 ratings,4.6,English,https://www.ratemyprofessors.com/professor/816945
Diana Hallman,0%,0%,6 ratings,2.6,Music,https://www.ratemyprofessors.com/professor/821847
Kim Gasser,N/A,N/A,2 ratings,5.0,Chemistry,https://www.ratemyprofessors.com/professor/824509
. Mirabito,60%,60%,45 ratings,3.0,Biology,https://www.ratemyprofessors.com/professor/824587
Nancy Clauter,N/A,N/A,6 ratings,4.6,Music,https://www.ratemyprofessors.com/professor/824891
Arne Bathke,N/A,N/A,10 ratings,4.4,Statistics,https://www.ratemyprofessors.com/professor/825441
Joyce Chaney,N/A,N/A,11 ratings,3.4,English,https://www.ratemyprofessors.com/professor/826032
Dan Howell,89%,89%,30 ratings,4.2,English,https://www.ratemyprofessors.com/professor/827028
Chan Yoo,50%,50%,5 ratings,2.9,Journalism,https://www.ratemyprofessors.com/professor/827468
Hannah Freeman,N/A,N/A,4 ratings,4.4,English,https://www.ratemyprofessors.com/professor/840961
Christopher Boss,67%,67%,7 ratings,3.0,English,https://www.ratemyprofessors.com/professor/842613
W. Hunter Stamps,100%,100%,18 ratings,3.3,Art,https://www.ratemyprofessors.com/professor/847040
Preeti Joshi,N/A,N/A,10 ratings,4.1,Mathematics,https://www.ratemyprofessors.com/professor/858039
Elizabeth Lorch,N/A,N/A,7 ratings,3.9,Psychology,https://www.ratemyprofessors.com/professor/870262
